price,address,city ,region,postcode,bedroom,bathroom,garage,type
$720 per week,15 Baywater Drive,WENTWORTH POINT,NSW,2,2,1,Apartment / Unit / Flat
"$1,400 per week",42/9 Eastlake Parade,KINGSTON,ACT,3,2,2,Apartment / Unit / Flat
$470 pw,14/127 Rivett Street,HACKETT,ACT,2,1,1,Apartment / Unit / Flat
"$4,000",105a Ocean Street,NARRABEEN,NSW,4,3,2,House
$480.00,104/72 Wentworth Avenue,KINGSTON,ACT,1,1,1,House
$600 per week,1E/4 Avoca Place,FISHER,ACT,3,2,1,Apartment / Unit / Flat
"$1,200 pw",1/63 Park Road,GLEN IRIS,VIC,4,3,2,Townhouse
$520 Per Week,154 Roberts Street,YARRAVILLE,VIC,2,1,2,House
$490.00,108/303-305 Huntingdale Road,CHADSTONE,VIC,2,1,1,Apartment / Unit / Flat
$600 per week,47 Clinton Road,GEILSTON BAY,TAS,4,2,2,House
$350,365 Wellington Street,SOUTH LAUNCESTON,TAS,1,1,−,Townhouse
$410.00,7/115 High Street,PRESTON,VIC,2,1,1,Townhouse
$820 per week,A404/40-50 Arncliffe Street,WOLLI CREEK,NSW,2,2,1,Apartment / Unit / Flat
$465,1/30 Greenpark Drive,CRESTMEAD,QLD,3,1,1,Duplex
$485 per week,59/3 Waddell Place,CURTIN,ACT,2,1,−,Apartment / Unit / Flat
$500 pw,23/62 Grosvenor Crescent,SUMMER HILL,NSW,1,1,−,Apartment / Unit / Flat
$740 PER WEEK-AVAILABLE NOW,28/189-185 Phillip Street,WATERLOO,NSW,1,1,1,Studio
$660,3/30 Huntington Street,CROWS NEST,NSW,2,1,1,Apartment / Unit / Flat
$675,G11/19 Marcus Clarke Street,CITY,ACT,1,2,1,Apartment / Unit / Flat
$440 per week,18/16 Broughton Place,QUEANBEYAN,NSW,2,1,1,Townhouse
$780.00,26 Blanford Street,WEST CROYDON,SA,4,1,5,House
$575,46/77-83 Cook Road,CENTENNIAL PARK,NSW,1,1,1,Apartment / Unit / Flat
$2000 per week,401/59-61 Ridge Street,NORTH SYDNEY,NSW,3,2,1,Apartment / Unit / Flat
$700 pw,9/107 Ebley Street,BONDI JUNCTION,NSW,1,1,−,Apartment / Unit / Flat
"$1,250 weekly",402/5 Victoria Street,ROSEVILLE,NSW,3,2,2,Apartment / Unit / Flat
$600.00,3/18 Dickens Street,GLEN IRIS,VIC,3,2,2,House
"$1,150 p/w",7/12-14 The Crescent,AVALON BEACH,NSW,3,2,2,Townhouse
$450 per week,14 Tolarno Drive,HINDMARSH ISLAND,SA,3,1,−,House
$850 Per Week,109/2 Mitchell Road,ALEXANDRIA,NSW,1,1,1,Apartment / Unit / Flat
$820 per week,401/3 Palm Avenue,BREAKFAST POINT,NSW,2,2,1,House
$600 pw,5E/15 Onslow Avenue,ELIZABETH BAY,NSW,1,1,−,Apartment / Unit / Flat
$625 per week,4/27 Park Avenue,WESTMEAD,NSW,2,1,2,Apartment / Unit / Flat
$550 Per Week,9/3 McDonald Street,POTTS POINT,NSW,1,1,−,Apartment / Unit / Flat
$650 Weekly,9512/177 Mitchell Road,ERSKINEVILLE,NSW,1,1,1,Apartment / Unit / Flat
$620.00 pw,42/47 Sycamore Drive,CURRIMUNDI,QLD,3,2,2,Townhouse
$550 Per week,34 Lyndhurst Street,DIANELLA,WA,3,1,1,House
$485.00,14 Maclachlan Street,HOLDER,ACT,3,2,1,Townhouse
$510 per week,23 Elgans Parade,RURAL VIEW,QLD,3,2,1,House
$880 pw,1304/2 Elizabeth Bay Road,ELIZABETH BAY,NSW,1,1,1,Apartment / Unit / Flat
$400,18/95 Annandale Street,ANNANDALE,NSW,−,1,−,Studio
$590 Per Week,11/1 Lambrigg Street,FARRER,ACT,3,1,1,Townhouse
$475.00,5/14-16 Nash St,GLEN IRIS,VIC,2,1,1,Apartment / Unit / Flat
"$3,000 p/week",148-160 King Street,SYDNEY,NSW,3,3,1,Apartment / Unit / Flat
$450,22/49-51 Cook Road,CENTENNIAL PARK,NSW,−,1,−,Studio
$750,12/2 Macintosh Street,MASCOT,NSW,2,1,1,Apartment / Unit / Flat
$700 per week,4 Greenhouse Street,AUSTRAL,NSW,4,2,2,House
